NID,Body,Summary,Category
"33736","<p>Business leaders joined celebrations at the city’s CEDP (Chinese Educational Development Project) Centre last&nbsp;weekend&nbsp;to welcome in the Year of the Pig.</p>

<p>As well as a spectacular show that included traditional lion dancing and musical performances from local school and college children, the annual event,&nbsp;now in its 19th year, included a business element for the first time. &nbsp;</p>

<p>The event was designed to explore&nbsp;the opportunities and challenges of doing business with China.</p>

<p>Max Woodford, Brighton &amp; Hove City Council's&nbsp;assistant director of regeneration and investment, gave an overview of the <a href=""https://present.brighton-hove.gov.uk/Published/C00000855/M00006638/AI00066106/$20180404164520_016156_0056507_GreaterBrightonTradeandInwardInvestmentStrategyFinal.pdfA.ps.pdf"">Greater Brighton&nbsp;Inward Investment &amp; Trade Strategy</a> before inviting members of the audience to&nbsp;direct their questions to a panel of business experts.&nbsp;</p>

<p>The strategy has been developed to help the City Region realise its potential as one of the UK’s leading locations for investment and trade.</p>

<p>Panellists included Brighton &amp;&nbsp;Hove City Council chief executive&nbsp;Geoff Raw;&nbsp;John McLean OBE, chairman of several China based companies as well as&nbsp;a Vice Chairman of the Institute of Directors (IoD); Dr&nbsp;Aijuan Wang, Strategic Development Director of China at Mott MacDonald; and Xabi Izaguirre, Head of Planning at Oban International..</p>

<p>The <a href=""http://www.cedp.org.uk/about-us/who-we-are-%e5%8f%91%e5%b1%95%e5%8e%86%e7%a8%8b/"">CEDP Chinese Centre</a> provides a platform to bring businesses together and to offer opportunities for volunteers to contribute their skills and resources to&nbsp;Brighton &amp; Hove. &nbsp;</p>

<p>The centre welcomes passionate and talented people to join the volunteer team and everyone is welcome to join in celebrating the year of the rat next year on 25 January 2020!</p>
","Spectacular show to welcome in the Year of the Pig. ","Business and economy"
"34826","<p>We’re exploring the best location to start restoration of the first three arches to showcase the project. These will be funded by the successful crowdfunding campaign.</p>

<p>We are continuing to assess the condition of the western-most arches. The thinking behind the proposal to restore these first is:&nbsp;</p>

<ul>
	<li>They would offer easy access for all</li>
	<li>Need less ‘propping’ and ‘dismantling’ (to prevent the rest of the Terrace from collapsing and separate the unstable parts from those being restored) as these arches are at one end</li>
	<li>Being close to the Palace Pier and bus/coach drop-off points with high visitor footfall would help make the most of the showcased arches</li>
	<li>Community input is a key part of the restoration&nbsp;and <a href=""https://present.brighton-hove.gov.uk/ieListDocuments.aspx?CId=117&amp;MId=8153&amp;Ver=4"">the council meeting on 28 March</a> will respond to a petition asking for the work to start work further to the east of the Terrace, by Concorde 2.</li>
</ul>

<p><br />
Our project team is looking at this option in more detail, including how it will impact on costs and the original objectives of the crowd funding.</p>

<p>Councillor Alan Robins, chair of the Tourism, Development &amp; Culture Committee, said: “We share the community’s aim of making sure we get the final decision on location right. We are committed to working with all the Terrace’s supporters to reach our shared goal of restoring the whole of Madeira Terrace.”</p>

<h2>Next steps</h2>

<p>We are looking forward to submitting a renewed funding bid to the National Heritage Lottery Fund (NHLF) in May. We recently received more information about how the future bidding process will work and how we can fit in with NHLF priorities which are:</p>

<ul>
	<li>Landscapes and nature</li>
	<li>Community heritage</li>
</ul>

<p><br />
Brighton &amp; Hove has the potential to make an excellent case study both for community heritage and improving the biodiversity of the seafront.</p>

<h2>New site office</h2>

<p>The project has a new site office on Madeira Drive opposite the western end of Madeira Terrace.</p>

<p>It is providing a base for community activities, a site office and space for events’ organisers which will generate revenue for the project. Brighton half marathon organisers Sussex Beacon were the first customers.</p>

<p><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="""" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/Cd6xNYXLl9o"" width=""560""></iframe></p>

<h2>Learning more about the structure&nbsp;</h2>

<p>Final year Building Surveying students from the University of Brighton are using Madeira Terrace as a case study for their work, which includes creating a basic design for a ‘pod’ that could be used for a variety of commercial and leisure activities.</p>

<p>A full annual ‘special inspection’ of the whole Terrace, commissioned by our property and design team, took place at the end of February.</p>

<h2>Madeira Terrace Restoration Fund</h2>

<p>Special edition Brighton mugs&nbsp;and&nbsp;re-usable hot drink mugs designed by Martha Mitchell&nbsp;featuring Madeira Terrace&nbsp;at&nbsp;£12&nbsp;are still available at the following outlets:</p>

<ul>
	<li>The Brighton Centre</li>
	<li>The Royal Pavilion gift shop</li>
	<li>Brighton Museum gift shop</li>
</ul>

<p>Profits from the sale of these items will go to the Madeira Terrace Restoration fund. <a href=""https://www.civicaepay.co.uk/BHCC/WEBPAY_PUBLIC/WEBPAY/default.aspx"">Make a donation to the Madeira Terrace Restoration Fund</a>.</p>
","Find out the latest plans to renovate three of the 151 Madeira Terrace arches. ","Business and economy"
"33286","<p>Recent media articles have misrepresented work to tackle #periodpoverty which gained cross party support at a council committee earlier this month.&nbsp;The report does not say that boys will have periods.&nbsp;</p>

<p>The <a href=""https://present.brighton-hove.gov.uk/Published/C00000968/M00009226/$$Supp30547dDocPackPublic.pdf"">report put to the committee</a>&nbsp;was raised as part of the council's commitment to&nbsp;Poverty Proofing the School day.&nbsp;The seven&nbsp;page report sets out the challenges and support available for girls and young people facing issues around period poverty. The benefits of all pupils learning about periods as a way to remove stigma and confusion is a key focus of the work.&nbsp;</p>

<p>The&nbsp;report is clear about how: ""Trans boys and men and non-binary people may have periods"" and ""Pupils with very early onset puberty and trans pupils and students are provided&nbsp;with additional support perhaps from a school nurse, if needed."" These supporting comments are set in a much wider context and cannot be taken as&nbsp;stand alone statements.&nbsp;</p>

<p>National statistics, included in the report,&nbsp;show:&nbsp;</p>

<ul>
	<li>One in ten girls in the UK have been unable to afford period products</li>
	<li>49% of girls have missed an entire day of school because of their period</li>
	<li>Research also shows significant taboo and stigma surrounding periods and menstruation</li>
</ul>

<p>The debate covered&nbsp;a range of ways to&nbsp;tackle period poverty both in terms of access to products and the stigma of talking about periods among young people.</p>

<p>Councillors agreed to support the campaign by providing funding for the local Red Box project which distributes free period products to schools.&nbsp;The continuing work of the council’s PHSE (personal, sexual and health education)&nbsp;service and the school nursing service were also&nbsp;recognised as having a significant role in reducing stigma and shame related to periods and provide education on puberty and changes within the body.&nbsp;</p>

<ul>
	<li><a href=""https://www.brighton-hove.gov.uk/content/council-and-democracy/equality/gender-diversity-brighton-hove"">Information about the council's approach to gender diversity, equality and inclusion for all</a></li>
</ul>
","Recent media articles have misrepresented work to tackle period poverty which gained cross party support at a council committee earlier this month.","Children and learning"
"33331","<p>Two changes to admissions arrangements for community schools in Brighton &amp; Hove starting in September 2020 are currently under consideration.</p>

<p>Government rules mean school admissions arrangements need to be agreed 18 months in advance.&nbsp;</p>

<p>The two proposed changes are:</p>

<ul>
	<li>Giving adopted children who were previously in care outside of England the highest priority for admission for places at their preferred schools;</li>
	<li>Reducing the published admission number for Westdene Primary School by one form of entry from 90 to 60.</li>
</ul>

<p>No other changes to school admissions arrangements for September 2020 are under consideration.</p>

<p><a href=""http://consult.brighton-hove.gov.uk/public/bhcc/schools/school_admisions_2018/admission_arrangements_for_brighton__hove_schools_202021"">Give your views on our current schools admission arrangements consultation</a>. The deadline is Monday 31 December.</p>

<p>The council’s children, young people and skills committee on Monday 15 January will consider the results of the consultation before making its decisions.&nbsp;&nbsp;</p>

<p class=""MsoNormal""><span style=""font-family:&quot;Arial&quot;,&quot;sans-serif&quot;""> <o:p></o:p></span></p>
","We're consulting on two proposed changes to admissions arrangements for community schools to come in from September 2020. Send us your views by Monday 31 December.","Children and learning"
"33371","<p>People working in state schools across Brighton &amp; Hove can sign up to a wide range of free training to support their careers through the council’s apprenticeship scheme.</p>

<p>These days <a href=""https://www.brighton-hove.gov.uk/content/jobs/apprenticeships"">apprenticeships</a> are open to people of all ages, both new recruits and existing staff – not just school leavers.</p>

<p><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="""" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/YJtoPiprnSw"" width=""560""></iframe></p>

<p>They are a great way to learn new skills for your current role and gain a qualification. You can study alongside your day job and remain on your current contract and pay.</p>

<p>School-based apprenticeships are available in either teaching or non-teaching roles.&nbsp;</p>

<p>Charlotte Gill is a teacher degree apprentice at Varndean School. She said: “It’s allowed me to build on my own experience within a department that I know and that can support me.</p>

<p>“I’ve been able to finance my living costs and my mortgage without having to take out loans or bursaries to cover the cost of training.”</p>

<p>Brighton &amp; Hove City Council’s executive director for families, children and schools, Pinaki Ghoshal said:&nbsp;</p>

<p>“All schools have to pay into the national Apprenticeship Levy. This is a fantastic opportunity for our schools to use this resource to create new opportunities for their staff.”&nbsp;</p>

<p>The next deadline for applications is the end of January.&nbsp;</p>

<p>To find out more please email apprenticeships@brighton-hove.gov.uk or call Gavin Graham on 01273 293320.&nbsp;</p>
","Apprenticeships are a great way to learn new skills and are open to people of all ages – not just school leavers.","Children and learning"
"33446","<p>If you haven’t already applied for a Brighton &amp; Hove primary, infant or junior school for your child to start in September 2019, now is the time to do so.</p>

<p>The deadline for applications for the city’s schools for the next academic year is Tuesday 15 January.&nbsp;</p>

<p><a href=""https://new.brighton-hove.gov.uk/schools-and-learning/apply-school/apply-school-place"">Visit the school admissions </a><a href=""https://new.brighton-hove.gov.uk/schools-and-learning/apply-school/apply-school-place"">webpages</a><a href=""https://new.brighton-hove.gov.uk/schools-and-learning/apply-school/apply-school-place""> to apply online</a>.&nbsp;</p>

<p>You’ll find all the guidance and advice you need on the city’s admissions process.&nbsp;</p>

<p>It is strongly recommended not to leave your application until the very last minute, as high demand could make it difficult to log in to the online system.&nbsp;</p>

<p>If you need further information please contact the council's school admissions team at Schooladmissions@brighton-hove.gov.uk or phone 01273 293653.</p>
","Apply as soon as possible! The deadline is Tuesday 15 January.","Children and learning"
"33581","<p>Overall GCSE results in schools across Brighton &amp; Hove continue to outstrip the national average, according to newly-released government figures.</p>

<p>The city is four percentage points ahead of the national average in both the government’s key measures for English and maths combined:</p>

<ul>
	<li>68% of Brighton &amp; Hove students achieved grades 9-4 compared to the national average of 64%</li>
	<li>47% of Brighton &amp; Hove achieved grades 9-5 against a national average of 43%.</li>
</ul>

<p>Most GCSEs are now being graded from 9 to 1, with 9 being the top grade.&nbsp;</p>

<p>The government describes a Grade 4 as a ‘standard’ pass, while a Grade 5 is a ‘strong’ pass.</p>

<p>The city is also ahead of the game for the government’s new ‘Attainment 8’ performance measure. This shows average attainment at individual schools across eight subjects.</p>

<p>Brighton &amp; Hove’s Attainment 8 figure is 48.0 compared to the national average of 46.5.</p>

<p>Brighton &amp; Hove City Council’s executive director for families, children and learning, Pinaki Ghoshal, said:</p>

<p>“This year-on-year improvement comes on the back of improved results city-wide at both A-level and primary level.</p>

<p>“Hats off first and foremost to our young people and their teachers, who have worked really hard to achieve this.&nbsp;</p>

<p>“I think our schools team and the city’s Education Partnership also deserve credit for their continued collaboration to raise standards.</p>

<p>“This has also included an improvement city-wide in Progress 8, another key government measure.&nbsp;</p>

<p>“With all of our secondary schools now rated ‘good’ by Ofsted parents can be confident that their children will get an excellent education whichever school they are at.”</p>
","Official government figures show Brighton & Hove is ahead of the game nationally.","Children and learning"
"33646","<p>Schools across Brighton &amp; Hove are on the lookout for engaged and supportive people to sign up as school governors.</p>

<p><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="""" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/TIPjYiIYnJs"" width=""560""></iframe></p>

<p>It’s a chance to give something back to your community and make a real difference to the lives of children and young people.</p>

<p>Schools particularly welcome people with professional knowledge in areas such as leadership, monitoring budgets and staff development.</p>

<p>They’re also keen to hear from people who have a knowledge of their local community.</p>

<p>Anyone aged 18 and over can apply to be a school governor and you don’t need to be a parent.</p>

<p>Belle Howard is a governor at St Margaret’s CofE Primary. She said: “My background is corporate, and I felt my skills would be really transferable.&nbsp;</p>

<p>“It’s such a rewarding thing to do.”</p>

<p>Chris Girvan is a governor at Downs View School. He said: “Think about the positive impact you can bring to these children’s lives.&nbsp;</p>

<p>“And also think about your own development and your own understanding as well. Being a governor broadens your horizons in so many ways.”</p>

<h2>Learn more</h2>

<p>To find out more about becoming a school governor, please:</p>

<p>•&nbsp;&nbsp; &nbsp;Email governor.support@brighton-hove.gov.uk<br />
•&nbsp;&nbsp; &nbsp;Phone 01273 293465<br />
•&nbsp; &nbsp; <a href=""https://www.brighton-hove.gov.uk/content/children-and-education/schools/school-governors"">School governors webpages</a></p>

<p class=""MsoNormal"" style=""line-height:normal""><span style=""font-family:&quot;Arial&quot;,&quot;sans-serif&quot;""><o:p></o:p></span></p>
","Becoming a school governor is a great way to give something back to your community and broaden your horizons.","Children and learning"
"33761","<p>A graduation ceremony on Thursday 7 March at Brighton’s Amex Stadium will honour people of all ages in the city who have completed apprenticeships over the last year.</p>

<p>The event, marking National Apprenticeship Week, runs from 6.30pm to 9pm and includes a welcome&nbsp;drink on arrival.</p>

<p>It’s open to anyone completing an apprenticeship or traineeship between 1 January 2018 to 28 February 2019 – as well as their families and friends.&nbsp;</p>

<p>Tickets are free. <a href=""https://www.eventbrite.co.uk/e/brighton-hove-apprenticeship-graduation-ceremony-registration-53916450555"">Book tickets now</a>. The deadline for booking is Sunday 3 March.</p>

<p>Leading the entertainment will be students from Brighton’s British and Irish Institute of Modern Music. Hosted by TV presenter Guy Lloyd, the event will also feature motivational speakers.</p>

<p>Brighton &amp; Hove City Council is one of a number of local employers sponsoring the event. The chair of the council’s children, young people and skills committee, Councillor Les Hamilton, said:</p>

<p>“We’re proud to be playing our part in celebrating the achievements of apprentices across the city.</p>

<p>“I also hope this special event at the Amex will help make more people aware that apprenticeships are open to all age groups.</p>

<p>A new apprenticeship campaign ‘Fire it up’ and ‘Blaze your own career trail’ was launched in January. If you are an individual or employer interested in finding out more about apprenticeships, please visit the <a href=""https://www.apprenticeships.gov.uk/"">Apprenticeships website</a>.</p>
","A graduation ceremony on Thursday 7 March at the Amex Stadium will honour those who have completed apprenticeships over the last year.","Children and learning"
"34001","<p>Employers in Brighton &amp; Hove can now bid for funding allocated to the council to boost take-up of apprenticeships in the city.</p>

<p>Following government reforms of the national funding system, councils are now allowed to transfer their apprenticeship levy funds to other organisations.&nbsp;</p>

<p>For Brighton &amp; Hove this means funding will be available to support employers to take on new apprentices and develop existing employees.</p>

<p>The council’s apprenticeships team will allocate the funding based on the bids received twice a year. The deadline for applying for the next round of funding is the end of March.</p>

<p>Eligible employers will fall into one of the following categories:</p>

<p>•&nbsp;&nbsp; &nbsp;Businesses and other organisations<br />
•&nbsp;&nbsp; &nbsp;The voluntary, community and social enterprise (VCSE) sector<br />
•&nbsp;&nbsp; &nbsp;Schools in the city that do not pay into the council’s apprenticeship levy.</p>

<p>Employers who apply for apprenticeship funding will be expected to actively support the aims of Brighton &amp; Hove’s City Employment &amp; Skills Plan.</p>

<p>The council is committed to working in partnership with local employers to boost take-up.&nbsp;</p>

<p>To find out more please:</p>

<ul>
	<li>visit www.brighton-hove.gov.uk/apprenticeships</li>
	<li>Email apprenticeships@brighton-hove.gov.uk&nbsp;</li>
	<li>Phone 01273 291281.</li>
</ul>
","Local employers can now apply for council funding to help them take on new apprentices and develop existing employees","Children and learning"
