"entity_id","body_value","body_summary","name"
33736,"<p>Business leaders joined celebrations at the city’s CEDP (Chinese Educational Development Project) Centre last&nbsp;weekend&nbsp;to welcome in the Year of the Pig.</p>

<p>As well as a spectacular show that included traditional lion dancing and musical performances from local school and college children, the annual event,&nbsp;now in its 19th year, included a business element for the first time. &nbsp;</p>

<p>The event was designed to explore&nbsp;the opportunities and challenges of doing business with China.</p>

<p>Max Woodford, Brighton &amp; Hove City Council's&nbsp;assistant director of regeneration and investment, gave an overview of the <a href=""https://present.brighton-hove.gov.uk/Published/C00000855/M00006638/AI00066106/$20180404164520_016156_0056507_GreaterBrightonTradeandInwardInvestmentStrategyFinal.pdfA.ps.pdf"">Greater Brighton&nbsp;Inward Investment &amp; Trade Strategy</a> before inviting members of the audience to&nbsp;direct their questions to a panel of business experts.&nbsp;</p>

<p>The strategy has been developed to help the City Region realise its potential as one of the UK’s leading locations for investment and trade.</p>

<p>Panellists included Brighton &amp;&nbsp;Hove City Council chief executive&nbsp;Geoff Raw;&nbsp;John McLean OBE, chairman of several China based companies as well as&nbsp;a Vice Chairman of the Institute of Directors (IoD); Dr&nbsp;Aijuan Wang, Strategic Development Director of China at Mott MacDonald; and Xabi Izaguirre, Head of Planning at Oban International..</p>

<p>The <a href=""http://www.cedp.org.uk/about-us/who-we-are-%e5%8f%91%e5%b1%95%e5%8e%86%e7%a8%8b/"">CEDP Chinese Centre</a> provides a platform to bring businesses together and to offer opportunities for volunteers to contribute their skills and resources to&nbsp;Brighton &amp; Hove. &nbsp;</p>

<p>The centre welcomes passionate and talented people to join the volunteer team and everyone is welcome to join in celebrating the year of the rat next year on 25 January 2020!</p>
","Spectacular show to welcome in the Year of the Pig. ","Business and economy"
34826,"<p>We’re exploring the best location to start restoration of the first three arches to showcase the project. These will be funded by the successful crowdfunding campaign.</p>

<p>We are continuing to assess the condition of the western-most arches. The thinking behind the proposal to restore these first is:&nbsp;</p>

<ul>
	<li>They would offer easy access for all</li>
	<li>Need less ‘propping’ and ‘dismantling’ (to prevent the rest of the Terrace from collapsing and separate the unstable parts from those being restored) as these arches are at one end</li>
	<li>Being close to the Palace Pier and bus/coach drop-off points with high visitor footfall would help make the most of the showcased arches</li>
	<li>Community input is a key part of the restoration&nbsp;and <a href=""https://present.brighton-hove.gov.uk/ieListDocuments.aspx?CId=117&amp;MId=8153&amp;Ver=4"">the council meeting on 28 March</a> will respond to a petition asking for the work to start work further to the east of the Terrace, by Concorde 2.</li>
</ul>

<p><br />
Our project team is looking at this option in more detail, including how it will impact on costs and the original objectives of the crowd funding.</p>

<p>Councillor Alan Robins, chair of the Tourism, Development &amp; Culture Committee, said: “We share the community’s aim of making sure we get the final decision on location right. We are committed to working with all the Terrace’s supporters to reach our shared goal of restoring the whole of Madeira Terrace.”</p>

<h2>Next steps</h2>

<p>We are looking forward to submitting a renewed funding bid to the National Heritage Lottery Fund (NHLF) in May. We recently received more information about how the future bidding process will work and how we can fit in with NHLF priorities which are:</p>

<ul>
	<li>Landscapes and nature</li>
	<li>Community heritage</li>
</ul>

<p><br />
Brighton &amp; Hove has the potential to make an excellent case study both for community heritage and improving the biodiversity of the seafront.</p>

<h2>New site office</h2>

<p>The project has a new site office on Madeira Drive opposite the western end of Madeira Terrace.</p>

<p>It is providing a base for community activities, a site office and space for events’ organisers which will generate revenue for the project. Brighton half marathon organisers Sussex Beacon were the first customers.</p>

<p><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="""" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/Cd6xNYXLl9o"" width=""560""></iframe></p>

<h2>Learning more about the structure&nbsp;</h2>

<p>Final year Building Surveying students from the University of Brighton are using Madeira Terrace as a case study for their work, which includes creating a basic design for a ‘pod’ that could be used for a variety of commercial and leisure activities.</p>

<p>A full annual ‘special inspection’ of the whole Terrace, commissioned by our property and design team, took place at the end of February.</p>

<h2>Madeira Terrace Restoration Fund</h2>

<p>Special edition Brighton mugs&nbsp;and&nbsp;re-usable hot drink mugs designed by Martha Mitchell&nbsp;featuring Madeira Terrace&nbsp;at&nbsp;£12&nbsp;are still available at the following outlets:</p>

<ul>
	<li>The Brighton Centre</li>
	<li>The Royal Pavilion gift shop</li>
	<li>Brighton Museum gift shop</li>
</ul>

<p>Profits from the sale of these items will go to the Madeira Terrace Restoration fund. <a href=""https://www.civicaepay.co.uk/BHCC/WEBPAY_PUBLIC/WEBPAY/default.aspx"">Make a donation to the Madeira Terrace Restoration Fund</a>.</p>
","Find out the latest plans to renovate three of the 151 Madeira Terrace arches. ","Business and economy"
35191,"<p>Construction workers in the city are set to benefit from a new agreement protecting workers’ rights.&nbsp;</p>

<p>The council has signed up to the Unite the Union Construction Charter. The Charter ensures that working conditions for employees on construction projects under council control meet the highest standards.</p>

<p>The Charter will soon come into force in Brighton &amp; Hove following agreement on how best to implement its provisions at the council’s recent Procurement Advisory Board.&nbsp;</p>

<p>The Charter supports increased fairness for workers by laying out eleven requirements for contractors and their supply chain.&nbsp;</p>

<p>Cllr Nancy Platts, lead for economic development and social value, said: “This is a positive step for the council and the city. The Charter will reinforce how the illegal practice of blacklisting workers won’t be tolerated and ensure fair pay through direct employment rather than umbrella company arrangements which can be costly for the construction worker.”</p>

<p>“We will work with construction companies to create genuine social value by enforcing the highest standards for their workers. What’s more, its spirit will promote the same standards for how these companies operate even when the council is not the direct client.”</p>

<p>The council will continue to link with Unite to deliver the Charter requirements, which cover direct employment status, health and safety, skills development, fair recruitment and measures to support the UK construction industry.</p>

<p>Sarah Carpenter, Unite regional secretary, said: “Brighton &amp; Hove City Council’s decision to sign Unite’s pioneering Charter is a significant boost for construction workers. It shows that the council is really serious about the best standards for local construction projects.”</p>

<p>“The Construction Charter makes a difference by helping local workers to operate in a safe environment and helps them to raise health and safety issues without fear. The Charter also protects workers from bogus self-employment by ensuring construction workers are directly employed.”</p>
","The council has signed up to the Unite the Union Construction Charter. The Charter ensures that working conditions for employees on construction projects under council control meet the highest standards.","Business and economy"
37306,"<p>An advisory panel bringing together a mix of community representatives, nominated by their own respective communities, is being created to work alongside the council in bringing forward the Madeira Terrace restoration. This follows a meeting with residents, community volunteers and businesses.</p>

<p>The panel will have up to 12 members made up of categories including:</p>

<ul>
	<li>community groups</li>
	<li>event organisers</li>
	<li>businesses</li>
	<li>tourism and conservation representatives</li>
</ul>

<p>The panel is likely to meet quarterly once different category groups are decided. In the next few weeks we’ll be inviting the community to put forward their nominated panel members and then work with them to arrange a date for the first Advisory Panel meeting.</p>

<p>More than 40 people attended last week’s meeting and speakers included the Regency Society, the Save Madeira Terrace Raffle Group and Building Green, a team of volunteers restoring the green wall.</p>

<h2>Community input is crucial</h2>

<p>Nick Hibberd, the council’s Executive Director for Economy, Environment &amp; Culture said: “I’d like to thank everyone who came for their commitment and enthusiasm for this unique heritage asset. Community input is crucial to making the restoration a success and the advisory panel will open up a practical way for those interested to stay involved and help place their vision at the heart of the restoration.</p>

<p>“We don’t underestimate the challenge of restoring 865m of a Victorian structure exposed to coastal weather and the resources we will need, but we can achieve our shared goals by working together and making things happen.”</p>

<p><img alt="""" data-entity-type="""" data-entity-uuid="""" height=""399"" src=""/sites/default/files/Madeira%20Terrace.jpg"" width=""600"" /></p>

<p>Regenerating Madeira Terrace will provide a new future for the eastern seafront along Madeira Drive. A progress report will be taken to the next Tourism, Development &amp; Culture Committee on 20 June when councillors will discuss the next steps, including the need for a specialist design team to give the council and community partners a better understanding of the actual costs of achieving the restoration.</p>

<h2>£2 million earmarked from council capital reserves</h2>

<p>As well as the £460,000 raised through a crowdfunding campaign, the council has earmarked £2 million from capital reserves for Madeira Terrace. The funds were first made available to match two bids made to National Lottery Heritage Fund (NLHF) in 2018, but as the bids were unsuccessful, the council is reconsidering how to start work on the restoration.</p>

<h2>Learn more about the Madeira Terrace</h2>

<p>For general enquiries and to register for newsletter updates please email <a href=""mailto:madeira.terrace@brighton-hove.gov.uk"">madeira.terrace@brighton-hove.gov.uk</a></p>

<p>We also have more information on the <a href=""https://www.brighton-hove.gov.uk/content/leisure-and-libraries/seafront/madeira-terrace-and-madeira-drive"">Madeira Terrace webpage</a>.</p>
","A new advisory panel is being set up to progress the restoration of Madeira Terrace. The panel members will include representatives from community, tourism and conservation groups, businesses and event organisers.","Business and economy"
39186,"<p><a href=""https://www.brighton-hove.gov.uk/content/leisure-and-libraries/seafront/trading-seafront"">Two new business premises are available in Shelter Hall</a>, and the closing date to submit a proposal for the Shelter Hall Rotunda café is Monday 1 July.</p>

<p>This week, contractors have been putting in the windows and doors for the building which is expected to be complete at the end of the year. The new glazing shows the spectacular views from the Rotunda of both piers that await new tenants and their customers.</p>

<h2>A landmark destination</h2>

<p>A total of 1,291 square feet (120 square metres) is available in the Rotunda Cafe, which sits at street level, providing an opportunity for smaller food and beverage operators.</p>

<p>Located in a prominent position on Brighton seafront, between the Palace Pier and i360, Shelter Hall will be a landmark destination for the 11 million tourists that visit the city. &nbsp;</p>

<p>The new Shelter Hall is larger than the previous building, with two internal floors, a rotunda on top and a roof terrace. The building will also incorporate new public toilets.</p>

<p><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="""" frameborder=""0"" height=""380"" src=""https://www.youtube.com/embed/joo9S6wJn24?rel=0"" width=""380""></iframe></p>

<h2>Part of our seafront investment programme</h2>

<p>The multi million pound project is part of the council’s Seafront Investment Programme and is being funded from government grants including a £9 million investment award from the Department for Transport’s Highways Maintenance Challenge Fund, borrowing and council money.</p>

<p>Councillor Anne Pissaridou, chair of the environment, transport &amp; sustainability committee, said: “The new Shelter Hall will provide a stunning new destination for the city’s residents and visitors and is a key part of the city’s seafront regeneration. The project has also involved strengthening the road above, restoring seafront arches and providing a new walkway on the lower promenade.”</p>

<p><a href=""https://www.brighton-hove.gov.uk/content/leisure-and-libraries/seafront/trading-seafront"">Find out more about letting the Shelter Hall Rotunda</a></p>
","New business space is available to let in the new Shelter Hall on Brighton seafront. The closing date to submit a proposal for the Shelter Hall Rotunda café is Monday 1 July.","Business and economy"
40081,"<p>R Durtnell &amp; Sons Ltd, the contractor working on the major refurbishment of Brighton Dome, Corn Exchange and Studio Theatre, has stopped work on site and is putting together proposals for a company voluntary arrangement.&nbsp;</p>

<p>We have taken back the site and made it secure. We are committed to completing the refurbishment of these unique buildings to protect their long-term future in the cultural heart of the city.&nbsp;</p>

<p>Over the coming days we’ll be exploring practical options for continuing and completing these essential restoration works as soon as possible and taking forward the wider Royal Pavilion Estate project.</p>

<p>Royal Pavilion Estate includes the Royal Pavilion, Brighton Museum &amp; Art Gallery, Royal Pavilion Garden, Brighton Dome Concert Hall, Corn Exchange and Studio Theatre.</p>

<h1>About the project</h1>

<p>Brighton Dome Corn Exchange and Studio Theatre refurbishment is the first phase of a wider project to re-affirm Brighton’s Royal Pavilion Estate as a key cultural destination by equipping it for a sustainable future.</p>

<p>Our longer-term vision aims to reunite the historic Estate created by George IV in the early 19th century to create a centre for heritage, culture and the performing arts which reflects the unique spirit of Brighton &amp; Hove.</p>

<p>The project will develop, deepen and broaden the cultural tourism offer of Brighton &amp; Hove and significantly contribute to the city’s cultural and economic wellbeing. It is anticipated that the revitalised Royal Pavilion Estate will support 1,241 FTE jobs and have an economic impact of up to £68 million.</p>

<p>Our refurbishment will transform the Grade 1 listed Brighton Dome Corn Exchange, formerly the Prince Regent’s Riding House, which has the widest span timber frame roof in the country, and the Grade 2 listed Studio Theatre. The project will restore previously hidden heritage features as well as provide increased capacity seating, a magnificent new viewing gallery and a creative space for artists to rehearse and develop work.</p>

<p>Major improvements to the Studio Theatre - once a supper room - will include balcony seating, new bar facilities and a street level café opening out onto New Road.</p>

<p>Since construction work began in February 2017, the project has experienced several unforeseen issues on the historic site. A Quaker burial ground was uncovered in August 2017, with human remains excavated by a team of archaeologists and structural issues have been discovered with the Corn Exchange’s 200-year old wooden frame and roof trusses.&nbsp;</p>

<p><br />
Find out more about <a href=""https://www.brighton-hove.gov.uk/content/leisure-and-libraries/museums-and-attractions/royal-pavilion-estate"">the Royal Pavilion Estate.</a></p>
","R Durtnell & Sons Ltd, the contractor working on the major refurbishment of Brighton Dome Corn Exchange and Studio Theatre, has ceased work on site. The council is working with Brighton Dome and Brighton Festival to explore practical options for continuing and completing the restoration works.","Business and economy"
40226,"<h2>Award</h2>

<p>The team behind Brighton &amp; Hove’s Volk’s railway, the oldest working electric railway in the world, has won a Public and Community Award from the Sussex Heritage Trust.</p>

<p>It recognises how the creation of a new visitor centre and new station by the Aquarium has vastly improved the railway for residents and visitors, attracting more than 400 people an hour at peak times.</p>

<h2>Improvements</h2>

<p>Councillor Alan Robins, chair of the Tourism, Development and Culture Committee, said: “I think the great Victorian inventor Magnus Volk would be proud of what we have achieved. The dedication of staff and volunteers has led to far more people being able to enjoy the whole experience and learn about its history.</p>

<p>“We’re so pleased that our unique heritage project has won this local award as Volk’s railway is truly one of the treasures of Sussex.”</p>

<p>Since it was built in 1883 Volk’s Railway has been battered by sea storms and abandoned during world wars but the new buildings were constructed to last in the marine environment, with zinc and a unique ribbed rubber cladding. The pebble base is formed in stainless steel cages with pebbles redistributed from the beach.</p>

<p>Hove-based architects, ABIR, designed a&nbsp;new station and visitor centre to look like two train carriages on tracks passing one another. Inside the centre, you can discover the story of the railway and its inventor Magnus Volk.</p>

<p>Funded by the Heritage Lottery Fund, the project also restored the 19<span style=""font-size: 12.5px;"">th&nbsp;</span>century railway carriages, which first took holidaymakers along Brighton seafront in 1883. Now back in use, they have increased accessibility and passenger capacity so more people can enjoy the ride.</p>

<p>Midway along the track is a new conservation workshop where council staff supported by volunteers maintain the train carriages and develop skills in carpentry and engineering.</p>
","Judges from the Sussex Heritage Trust said the design, which includes exterior rubber cladding on the new ticket hall and cafe, was an unusual and clever use of materials and the buildings had enhanced the eastern end of Brighton seafront.","Business and economy"
40546,"<p>We’re supporting a local campaign to end the practice of unpaid trial shifts in the city.</p>

<p><a href=""https://www.nounpaid.com/"">‘Say No To Unpaid Trial Shifts’</a> is a grassroots collective started by students in Brighton &amp; Hove. The campaign group say using unpaid trial shifts during the job application process is unacceptable—a view that councillors endorsed unanimously in a notice of motion last year.&nbsp;</p>

<p>An unpaid trial shift is where an employer fails to pay for work which either makes money from a prospective employee or saves money for the employer. The government issued <a href=""https://www.gov.uk/government/publications/calculating-the-minimum-wage/calculating-the-minimum-wage"">new guidance as to what constitutes an unpaid trial shift</a> in December 2018.</p>

<p>We have pledged to look at how we can help end the practice of unpaid trial shifts. From 1 August we will be gathering information from businesses and prospective job applicants to understand the scale and nature of the issue:</p>

<ul>
	<li><a href=""https://consultations.brighton-hove.gov.uk/business/unpaid-trial-shifts-survey-for-businesses/"">Business survey</a></li>
	<li><a href=""https://consultations.brighton-hove.gov.uk/business/unpaid-trial-shifts-applicants-survey"">Workers, students and young people survey</a></li>
</ul>

<h2>Why the council is taking action</h2>

<p>Cllr Amanda Evans, Brighton &amp; Hove’s Lead Member for Community Wealth Building said: “No-one should be expected to work for free so we want to collaborate with businesses and partners to put an end to unpaid labour that is unacceptable, unethical and unfair.</p>

<p>“The initiative is consistent with our support of the <a href=""https://www.livingwagebrighton.co.uk/"">Brighton &amp; Hove Living Wage campaign</a> and an extension of our commitment to raise standards, celebrate good employers, retain good candidates and ensure all those working in our city can share in the wealth they are helping to create.”</p>

<p>The <a href=""https://www.nounpaid.com/aboutus"">No Unpaid campaign group</a> says unpaid trial shifts target young people, take advantage of vulnerable job-seekers and allow businesses (including many high street brands) to avoid paying wages, staff training and tax—and are therefore damaging the UK economy.</p>

<p>Of the people who responded to their recent snapshot survey, many reported unpaid trial shifts in the hospitality sector, but also highlighted major high street retailers, as well as other industries including cleaning and care work.&nbsp;</p>

<p>Tourism supports nearly 22,000 jobs in Brighton &amp; Hove, with more than 1,000 businesses involved bringing over £800 million into the local economy. It equates to 7.5% of the tourism economy of the south east region*. An end to unpaid trial shifts in this sector will enable more people to share in the city’s economic success. Community wealth building is an aim of <a href=""https://new.brighton-hove.gov.uk/news/2019/city-introduces-new-economic-strategy"">the city’s economic strategy</a> introduced earlier this year.&nbsp;</p>

<p>*Source: <a href=""https://present.brighton-hove.gov.uk/Published/C00000969/M00009186/AI00068292/$20180918112128_017827_0059899_VisitorEconomyStrategyandDestinationManagementPlan201823150918.docxA.ps.pdf"">Visitor Economy Strategy and Destination Management Plan 2018-2023</a></p>

<h2>Surveys</h2>

<p>Councillor Evans added: “Our surveys will build on the work of the No Unpaid campaign group by giving us local information that we can use to find practical ways of tackling the issue.”</p>

<p>Targeted communication with students and young people will start in September to encourage them to fill in the applicants survey.</p>

<ul>
	<li><a href=""https://consultations.brighton-hove.gov.uk/business/unpaid-trial-shifts-survey-for-businesses/"">Business survey</a></li>
	<li><a href=""https://consultations.brighton-hove.gov.uk/business/unpaid-trial-shifts-applicants-survey"">Workers, students and young people survey</a></li>
</ul>

<p>Closing date for our&nbsp;survey is 31 October 2019.</p>

<h2>No unpaid campaign</h2>

<p>Campaign co-founder Frank Chamberlain said: “The work of young people is demeaned by the concept that we should be asked to work for free. Too many young people, competing in a saturated job market, feel like they have no choice but to undertake unpaid trial shifts, with no guarantee of a job at the end of it. On some occasions, it has become apparent that employers had no intention of offering a job at all.</p>

<p>“Given so many people, young people and otherwise, rely on a secure income, this practice is both unethical and exploitative. We hear horror stories of nine hour shifts and ridiculous anecdotes of compensation being given in the form of bread, beer and even spices. Even short unpaid trial shifts are time-consuming, and force vulnerable jobseekers into working for free. This is not acceptable in today’s society.”</p>

<p>Frank added: “We want ethical employers to help us raise awareness of this unacceptable practice by pledging not to undertake unpaid trial shifts. To date, more than 100 businesses have done so.”</p>

<p>Mark Turner from the GMB trade union said: “This is a very important campaign and the GMB is pleased to be part of it. This arrangement of unpaid trial shifts needs to be totally eradicated because it particularly disadvantages young people within society. We welcome that the council has signed up to this along with the city’s three MPs and we as a union will continue to campaign at a local and national level.”</p>

<p>Unpaid trial shifts can be reported to HMRC who investigate claims on a case by case basis. No Unpaid has simplified this process by providing an easy-to-use complaint letter-generator on its website. ACAS also provide free, confidential help and advice for workers.</p>

<h2>More information</h2>

<ul>
	<li>See the <a href=""https://www.brighton-hove.gov.uk/content/business-and-trade/support-businesses/end-unpaid-trial-shifts-brighton-hove"">council’s information for businesses and prospective job applicants</a>&nbsp;</li>
	<li><a href=""https://www.nounpaid.com/sign-up"">Sign up to the 'Say No to Unpaid Trial Shifts' pledge</a></li>
	<li><a href=""https://www.nounpaid.com/report-to-hrmc"">Report&nbsp;an unpaid trial shift</a>&nbsp;</li>
	<li><a href=""https://www.gov.uk/government/publications/calculating-the-minimum-wage/calculating-the-minimum-wage"">Department for Business, Energy &amp; Industrial Strategy Guidance on calculating the minimum wage</a>&nbsp;</li>
</ul>
","Take part in our survey about unpaid trial shifts. We want to hear from businesses and prospective employees to find out more about the scale and nature of the issue. ","Business and economy"
41301,"<p>Love is in the air at a Ceremonies Open Day on Sunday 6 October from midday to 3pm at Brighton Town Hall, Bartholomew Square BN1 1JA.</p>

<p>It’s a chance to meet our highly experienced register office team to find out more about weddings, civil partnerships, renewal of vows, naming and commitment ceremonies.</p>

<p>The team is more than happy to discuss your individual requirements and requests – however unusual they might be!</p>

<p>Brighton Town Hall has a variety of rooms that can accommodate any number of guests from 8 to 120:</p>

<p>•&nbsp;&nbsp; &nbsp;Council Chamber - up to 120 guests<br />
•&nbsp;&nbsp; &nbsp;Regency Room - up to 50 guests<br />
•&nbsp;&nbsp; &nbsp;Mayor’s Parlour - up to 30 guests<br />
•&nbsp;&nbsp; &nbsp;Old Police Cells - up to 30 guests<br />
•&nbsp;&nbsp; &nbsp;Fitzherbert Room - up to 8 guests</p>

<p>If you wish to secure your ceremony the team will be taking bookings on the day with full payment.</p>

<p>If you can’t make it to our event on 6 October but would like to know more about having your special event at Brighton Town Hall, please:</p>

<p>•&nbsp;&nbsp; &nbsp;email ceremonies@brighton-hove.gov.uk<br />
•&nbsp;&nbsp; &nbsp;phone (01273) 292016, option 2.<br />
&nbsp;</p>
","View our ceremony rooms on Sunday 6 October – speak to our registrars – book your ceremony.","Business and economy"
33286,"<p>Recent media articles have misrepresented work to tackle #periodpoverty which gained cross party support at a council committee earlier this month.&nbsp;The report does not say that boys will have periods.&nbsp;</p>

<p>The <a href=""https://present.brighton-hove.gov.uk/Published/C00000968/M00009226/$$Supp30547dDocPackPublic.pdf"">report put to the committee</a>&nbsp;was raised as part of the council's commitment to&nbsp;Poverty Proofing the School day.&nbsp;The seven&nbsp;page report sets out the challenges and support available for girls and young people facing issues around period poverty. The benefits of all pupils learning about periods as a way to remove stigma and confusion is a key focus of the work.&nbsp;</p>

<p>The&nbsp;report is clear about how: ""Trans boys and men and non-binary people may have periods"" and ""Pupils with very early onset puberty and trans pupils and students are provided&nbsp;with additional support perhaps from a school nurse, if needed."" These supporting comments are set in a much wider context and cannot be taken as&nbsp;stand alone statements.&nbsp;</p>

<p>National statistics, included in the report,&nbsp;show:&nbsp;</p>

<ul>
	<li>One in ten girls in the UK have been unable to afford period products</li>
	<li>49% of girls have missed an entire day of school because of their period</li>
	<li>Research also shows significant taboo and stigma surrounding periods and menstruation</li>
</ul>

<p>The debate covered&nbsp;a range of ways to&nbsp;tackle period poverty both in terms of access to products and the stigma of talking about periods among young people.</p>

<p>Councillors agreed to support the campaign by providing funding for the local Red Box project which distributes free period products to schools.&nbsp;The continuing work of the council’s PHSE (personal, sexual and health education)&nbsp;service and the school nursing service were also&nbsp;recognised as having a significant role in reducing stigma and shame related to periods and provide education on puberty and changes within the body.&nbsp;</p>

<ul>
	<li><a href=""https://www.brighton-hove.gov.uk/content/council-and-democracy/equality/gender-diversity-brighton-hove"">Information about the council's approach to gender diversity, equality and inclusion for all</a></li>
</ul>
","Recent media articles have misrepresented work to tackle period poverty which gained cross party support at a council committee earlier this month.","Children and learning"
